Tittle ,Link,Salary,Level,Job description,Requirement,Job
Nhân viên kinh doanh - CSKH Telesales,https://www.facebook.com/groups/tuyendung24hnew/posts/24579007898365426/,𝐋𝐮̛𝐨̛𝐧𝐠 𝐜𝐮̛́𝐧𝐠 + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐧𝐨́𝐧𝐠 + %𝐇oa 𝐇ồng + Thưởng Sàn,Nhân viên ,"𝐂𝐚̂̀𝐧 𝐭𝐮𝐲𝐞̂̉𝐧 𝐧𝐡𝐚̂𝐧 𝐯𝐢𝐞̂𝐧 𝐤𝐢𝐧𝐡 𝐝𝐨𝐚𝐧𝐡 - 𝐂𝐒𝐊𝐇 𝐓𝐄𝐋𝐄𝐒𝐀𝐋𝐄𝐒
𝐊𝐇𝐎̂𝐍𝐆 𝐘𝐄̂𝐔 𝐂𝐀̂̀𝐔 𝐊𝐈𝐍𝐇 𝐍𝐆𝐇𝐈𝐄̣̂𝐌
----------------------------------------------------------
𝐓𝐇𝐔 𝐍𝐇𝐀̣̂𝐏: 𝐊𝐇𝐎̂𝐍𝐆 𝐆𝐈𝐎̛́𝐈 𝐇𝐀̣𝐍,
- 𝐊𝐡𝐨̂𝐧𝐠 𝐚́𝐩 𝐝𝐨𝐚𝐧𝐡 𝐬𝐨̂́ 𝐊𝐏𝐈 -
𝐋𝐮̛𝐨̛𝐧𝐠 𝐜𝐮̛́𝐧𝐠 + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐧𝐨́𝐧𝐠 + %𝐇𝐇 + Thưởng Sàn
𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 :-
Có 𝐋𝐀𝐏𝐓𝐎𝐏 cá nhân để thuận tiện công việc
Làm FULLTIME
𝐓𝐇𝐎̛̀𝐈 𝐆𝐈𝐀𝐍:-
-Từ 8h15 - 17h30 ( Nghỉ trưa 1 tiếng rưỡi)
-Từ Thứ 2 - Chủ Nhật ( được nghỉ 1 ngày bất kì)
𝐋𝐮̛𝐨̛𝐧𝐠 𝐭𝐡𝐚́𝐧𝐠 𝐭𝐡𝐮̛́ 𝟏𝟑, 𝐧𝐠𝐡𝐢̉ 𝐋𝐞̂̃/ 𝐓𝐞̂́𝐭 𝐭𝐡𝐞𝐨 đ𝐮́𝐧𝐠 𝐪𝐮𝐲 đ𝐢̣𝐧𝐡 𝐍𝐡𝐚̀ 𝐧𝐮̛𝐨̛́𝐜-
Đ𝐮̛𝐨̛̣𝐜 đ𝐚̀𝐨 𝐭𝐚̣𝐨 𝐛𝐚̀𝐢 𝐛𝐚̉𝐧, 𝐜𝐡𝐮𝐲𝐞̂𝐧 𝐧𝐠𝐡𝐢𝐞̣̂𝐩.-
𝐋𝐨̣̂ 𝐭𝐫𝐢̀𝐧𝐡 𝐭𝐡𝐚̆𝐧𝐠 𝐭𝐢𝐞̂́𝐧 𝐜𝐚́𝐜 𝐯𝐢̣ 𝐭𝐫𝐢́ 𝐜𝐚𝐨 𝐡𝐨̛𝐧 𝐫𝐨̃ 𝐫𝐚̀𝐧𝐠
Địa chỉ: Tòa HH1- Ngõ 102 Trường Chinh - Phương Mai - Đống Đa - Hà Nội
Ib nhận Jd/Add zalo 039.405.1824","Không yêu cầu kinh nghiệm
Có laptop
Làm fulltime",Tư vấn/ Dịch vu khách hàng/ Bán hàng/ Kinh doanh 
Nhân viên bán hàng ,https://www.facebook.com/groups/tuyendung24hnew/posts/24412133438386207/,"THU NHẬP MỖI CA: 
   - Parttime: 4 tr
   - Fulltime: 8 tr",Nhân viên ,"TUYỂN NHÂN VIÊN BÁN HÀNG
Địa điểm:  KHU VỰC TRẦN THÁI TÔNG CẦU GIẤY
 Thời gian làm việc: 
       Ca sáng: 8h30 - 12h 
       Ca chiều : 13h30-17h30
       Fulltime : 8h30 - 17h30
THU NHẬP MỖI CA: 
   - Parttime: 4 tr
   - Fulltime: 8 tr
Yêu cầu : Nam nữ trên 18 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực 
+ Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái 
+ Được nghỉ ngày chủ nhật 
INBOX NGAY ĐỂ NHẬN CÔNG VIỆC 
Liên hệ trực tiếp 0387283548"," Nam nữ trên 18 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực 
+ Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái ",Tư vấn/ Bán hàng/ Kinh doanh 
"Chuyên viên chăm sóc khách hàng, chốt đơn ",https://www.facebook.com/groups/tuyendung24hnew/posts/24411126775153540/,"𝑳𝒖̛𝒐̛𝒏𝒈 𝒄𝒖̛́𝒏𝒈 𝒕𝒉𝒖̛̉ 𝒗𝒊𝒆̣̂𝒄 : 7.410.000₫ + Phụ cấp 1.910.000+ 𝑯𝒐𝒂 𝒉𝒐̂̀𝒏𝒈 + 𝑻𝒉𝒖̛𝒐̛̉𝒏𝒈 ( Thử việc không doanh số vẫn nhận 100% LC)
𝑻𝒊𝒆̂̀𝒏 𝒍𝒖̛𝒐̛𝒏𝒈 𝒄𝒉𝒊́𝒏𝒉 𝒕𝒉𝒖̛́𝒄 : 8.410.000₫ - 10.910.000₫ + Phụ cấp 1.910.000 + 𝑯𝒐𝒂 𝒉𝒐̂̀𝒏𝒈 + 𝑻𝒉𝒖̛𝒐̛̉𝒏𝒈- Tháng đi làm đầy đủ thưởng 500.000/ tháng",Nhân viên ," Bạn lo lắng ra trường chưa biết tìm việc ở đâu ?
Bạn không biết đến nơi nào vừa đào tạo vừa phát triển?
- HÃY ĐẾN NGAY VỚI CHÚNG TÔI -
--------------------------------------------------
 Vị trí: Chuyên viên chăm sóc khách hàng, chốt đơn (Không yêu cầu kinh nghiệm)
Phù hợp với các bạn
- Thích mức lương đột phá
- Không ngại học hỏi
- Có laptop và làm việc fulltime
- Cải thiện kĩ năng mềm
Quyền lợi nhận được
𝑳𝒖̛𝒐̛𝒏𝒈 𝒄𝒖̛́𝒏𝒈 𝒕𝒉𝒖̛̉ 𝒗𝒊𝒆̣̂𝒄 : 7.410.000₫ + Phụ cấp 1.910.000+ 𝑯𝒐𝒂 𝒉𝒐̂̀𝒏𝒈 + 𝑻𝒉𝒖̛𝒐̛̉𝒏𝒈 ( Thử việc không doanh số vẫn nhận 100% LC)
𝑻𝒊𝒆̂̀𝒏 𝒍𝒖̛𝒐̛𝒏𝒈 𝒄𝒉𝒊́𝒏𝒉 𝒕𝒉𝒖̛́𝒄 : 8.410.000₫ - 10.910.000₫ + Phụ cấp 1.910.000 + 𝑯𝒐𝒂 𝒉𝒐̂̀𝒏𝒈 + 𝑻𝒉𝒖̛𝒐̛̉𝒏𝒈- Tháng đi làm đầy đủ thưởng 500.000/ tháng
- Chấp nhận sinh viên mới ra trường, người chưa có kinh nghiệm
Data và thiết bị cung cấp 100%
- Có ngày nghỉ phép có lương/ tháng
-Thời gian làm việc: 8h15 -17h45 (nghỉ trưa 1,5 tiếng), nghỉ chiều T7,CN
Địa chỉ: 139 Cầu Giấy, Hà Nội .
LH trực tiếp qua FB ; Zalo: 0397032226
CV ứng tuyển gửi về gmail:phanvanhieu17092000@gmail.com
NHANH TAY ỨNG TUYỂN NÀO","Không yêu cầu kinh nghiệm
Có laptop và làm việc fulltime",Tư vấn/ Dịch vu khách hàng/ Bán hàng/ Kinh doanh 
Nhân viên part time,https://www.facebook.com/groups/tuyendung24hnew/posts/24479318118334405/,25k/h,Nhân viên ,"Ở ĐÂY CÓ TUYỂN NHÂN VIÊN PART TIME SIÊU NĂNG ĐỘNG HỢP GEN Z :33 ƯU TIÊN 2K3-2K5  
Lương: 25k/h+ thưởng 
Xoay ca linh hoạt 
Không yêu cầu kĩ năng, sẽ được đào tạo bài bản ƯU TIÊN SINH VIÊN ĐẠI HỌC, KHỐI NGÀNH KINH TẾ ĐỂ NĂNG CAO TRẢI NHIỆM Địa chỉ : Quan Hoa, Cầu Giấy Hà Nội"," Không yêu cầu kĩ năng, sẽ được đào tạo bài bản ƯU TIÊN SINH VIÊN ĐẠI HỌC, KHỐI NGÀNH KINH TẾ ĐỂ NĂNG CAO TRẢI NHIỆM",Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên ,https://www.facebook.com/groups/tuyendung24hnew/posts/24567304806202402/,Thu nhập: 2-4tr+ thưởng theo năng lực,Nhân viên ,", ‼️ GÓC VỪA HỌC VỪA LÀM
‼️ CƠ HỘI VIỆC LÀM CHO CÁC BẠN SINH VIÊN ĐẠI HỌC ( ưu tiên 2k5-2k2 )
Ca làm 
•Sáng:8h-11h
• Chiều: 14h-17h
• Tối: 18h-21h
Thu nhập: 2-4tr+ thưởng theo năng lực
- Môi trường năng động, chuyên nghiệp
- Được trau dồi các kỹ năng mềm
Địa chỉ: 8c10 ngõ 261 Trần Quốc Hoàn, Cầu Giấy
QUAN TÂM CÔNG VIỆC IB CHỊ NHÉ!",ưu tiên 2k5-2k2,Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên tư vấn chốt đơn/CSKH,https://www.facebook.com/groups/tuyendung24hnew/posts/24405037205762497/,Thu nhập = LCB+ hoa hồng+ thưởng: 9-15 triệu/tháng,Nhân viên ,"LÀM SƠ SƠ THÔI, LÀM QUÁ NÓ GIÀU, LÀM QUÁ NÓ HẾT NGHÈO 
Tuyển dụng ""Nhân Viên TƯ VẤN CHỐT ĐƠN/CSKH""
Thay vì nhận lương cứng mỗi tháng, Kinh doanh sẽ mang đến lương cứng + hoa hồng.
1. QUYỀN LỢI
Thu nhập = LCB+ hoa hồng+ thưởng: 9-15 triệu/tháng
Môi trường giờ giấc thoải mái
2. YÊU CẦU CÔNG VIỆC
- Có thể đáp ứng 2 ca/ngày
+ Ca sáng: 8h-11h45
+ Ca chiều: 13h45-17h30
+ Ca tối: 19h-22h
- Không yêu cầu kinh nghiệm, nếu có là một lợi thế
3. THÔNG TIN ỨNG TUYỂN
- Địa chỉ: 234 Phạm Văn Đồng – Bắc Từ Liêm- HN
Mọi người muốn tư vấn thì ib mình nhé!","- Có thể đáp ứng 2 ca/ngày
+ Ca sáng: 8h-11h45
+ Ca chiều: 13h45-17h30
+ Ca tối: 19h-22h
- Không yêu cầu kinh nghiệm, nếu có là một lợi thế",Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên chăm sóc khách hàng,https://www.facebook.com/groups/tuyendung24hnew/posts/24405428935723324/,Thu nhập từ 7 - 9tr/tháng (Lương cơ bản+phụ cấp+THƯỞNG),Nhân viên ,"JOB NÀY NGON SỐ HAI THÌ KHÔNG AI LÀ SỐ 1 
ĐÀI TRUYỀN HÌNH K+ TUYỂN DỤNG CHĂM SÓC KHÁCH HÀNG
Thu nhập từ 7 - 9tr/tháng (LCB+PC+THƯỞNG)
Quyền lợi :
Đào tạo bài bản miễn phí
Vừa làm việc - vừa được xem bóng đá⚽
Không sale, không áp doanh thu, doanh số
Yêu cầu:
Giao tiếp nhanh nhẹn, k ngọng, lắp hay âm hưởng
Tốt nghiệp THPT
Địa chỉ: Yên Hòa, Cầu Giấy, Hà Nội","Giao tiếp nhanh nhẹn, k ngọng, lắp hay âm hưởng
Tốt nghiệp THPT",Tư vấn/ Dịch vu khách hàng
Nhân viên sale partime kiến trúc,https://www.facebook.com/groups/tuyendung24hnew/posts/24586242434308639/,- Lương cứng 20k-30k/h (thỏa thuận khi phỏng vấn ) + thưởng nóng cao (thu nhập từ 4-15tr không giới hạn),Nhân viên ,"[Nguyễn Xiển , Thanh Xuân ] CẦN TUYỂN VỊ TRÍ SAU :
Nhân viên sale partime kiến trúc , nội thất không yêu cầu kinh nghiệm phù hợp cho các bạn sinh viên, mẹ bỉm sữa.
+ Ca ( sáng) : 8h - 12h
+ Ca ( chiều ) : 13h30-17h30
làm việc từ t2-sáng t7 ( nghỉ chiều t7, chủ nhật)
- Lương cứng 20k-30k/h (thỏa thuận khi phỏng vấn ) + thưởng nóng cao (thu nhập từ 4-15tr không giới hạn)
-Môi trường trẻ trung năng động , chế độ lương thưởng cao nộp cv qua zalo : 0917439582","không yêu cầu kinh nghiệm phù hợp cho các bạn sinh viên, mẹ bỉm sữa.",Tư vấn/ Dịch vụ khách hàng/ Kiến trúc
Chuyên viên tuyển dụng làm việc ,https://www.facebook.com/groups/tuyendung24hnew/posts/24513451504921066/,Lương cứng: 8-15M,Nhân viên ,"Cần tuyển Chuyên viên tuyển dụng làm việc tại Liễu Giai, Ba Đình, Hà Nội
Kinh nghiệm 1 năm, ưu tiên ứng viên chuyên tuyển dụng mass
Có thể làm việc độc lập.
Lương cứng: 8-15M
Liên hệ: 0328393705 – ngoccanhh118@gmail.com","Kinh nghiệm 1 năm, ưu tiên ứng viên chuyên tuyển dụng mass",Nhân sự
TTS và nhân viên TIKTOK ADS và FB ADS.,https://www.facebook.com/groups/tuyendung24hnew/posts/24482188598047357/,Thu nhập trung bình trên 10tr. đối với các bạn có năng lực trên 20m 30m,Nhân viên ,"TRẦN BÌNH - MỸ ĐÌNH
Tuyển dụng 05 TTS và nhân viên TIKTOK ADS và FB ADS. không yêu cầu kinh nghiệm. được đào tạo bài bản từ A - Z
Được cấp đẩy đủ tài nguyên, ngân sách
Thu nhập trung bình trên 10tr. đối với các bạn có năng lực trên 20m 30m
IB để nhận JD chi tiết
Zalo: 0868785450", không yêu cầu kinh nghiệm. được đào tạo bài bản từ A - Z,Tiếp thị/ Marketing/ Tiếp thị trực tuyển
Nhân viên tư vấn mảng dinh dưỡng,https://www.facebook.com/groups/tuyendung24hnew/posts/24373338985598986/,Lương cứng 7.000.000+ Thưởng,Nhân viên ,"VỊ TRÍ NHÂN VIÊN TƯ VẤN - MẢNG DINH DƯỠNG ĐANG CÒN TRỐNG, MỜI BẠN ỨNG TUYỂN NGAY
Lương cứng 7.000.000+ Thưởng
Thử việc nhận 100% lương
Làm việc giờ hành chính
Thu nhập ổn định : 10.000.000-20.000.000
Link JD cụ thể: https://forms.gle/BL74sNCMfvE2FmyFA
-----------------------------
Công việc của bạn: Liên hệ cho khách hàng qua điện thoại theo danh sách data có sẵn để giới thiệu chương trình khuyến mãi-giảm giá-voucher và tư vấn sản phẩm phù hợp với nhu cầu của khách.
(Làm việc tại văn phòng, không đi thị trường, không tìm kiếm khách hàng)
Quyền lợi:
Không yêu cầu kinh nghiệm, sẽ được đào tạo
Thử việc nhận full lương
Sau thử việc được tham gia chế độ BH đầy đủ, lương thưởng tháng 13
Tham gia vào các hoạt động tập thể, du lịch, team building
Thời gian: 8h30-18h30 (T2-T7) OFF cố định chủ nhật
Nơi làm việc: Concentrix, số 02 Tô Ký, Quận 12
------------
Thông tin liên hệ:
Gửi CV qua Email: vongocquynh.hr@gmail.com tiêu đề [ HỌ TÊN - TƯ VẤN DINH DƯỠNG Q12 ] để được xếp lịch phỏng vấn tại công ty.
Liên hệ Phone/Zalo: 0987 180 721 (PNS)",Không yêu cầu kinh nghiệm,Tư vấn/ Dịch vụ khách hàng
Nhân viên kinh doanh,https://www.facebook.com/groups/tuyendung24hnew/posts/24422796563986561/,- Lương cứng: 5-6tr (deal khi PV) + Phụ cấp + Ds + Thưởng.,Nhân viên ,"Cần Tuyển 2 Nhân Viên SALE - KHÔNG Yêu Cầu Kinh nghiệm.
- Lương cứng: 5-6tr (deal khi PV) + Phụ cấp + Ds + Thưởng.
- 6 tháng review tăng lương 1 lần
- Đóng BHXH, du lịch hàng năm,...
Thời gian: T2->T7, 8h30-17h30 (nghỉ trưa 1,5 tiếng).
Địa điểm: Trần Phú, Hà Đông, HN.
Gửi CV về mail: hcns.tapdoandaiviet@gmail.com [Tên + Vị trí ứng tuyển].
IB để nhận JD chi tiết",Không yêu cầu kinh nghiệm,Tư vấn/ Bán hàng/ Kinh doanh 
Thực tập sinh nhân sự ,https://www.facebook.com/groups/204316775079696/posts/689591129885589/,Hỗ trợ lương cứng 60k/ca + Thưởng: up to 800.000 - 4.000.000,Thực tập sinh ,"Cơ hội việc làm cho các bạn hs, sv (ưu tiên từ 2𝒌5 - 2𝒌3 ) đang học khối ngành quản trị tại Hà Nội
   Lộ trình thăng tiến rõ ràng
Vị trí: 𝗧𝗵𝘂̛̣𝗰 𝘁𝗮̣̂𝗽 𝘀𝗶𝗻𝗵 HR 
Hỗ trợ lương cứng 60k/ca + Thưởng: up to 800.000 - 4.000.000
làm 𝙊𝙉𝙇𝙄𝙉𝙀/𝙊𝙁𝙁𝙇𝙄𝙉𝙀 (𝙋𝙖𝙧𝙩 – 𝙩𝙞𝙢𝙚)
 - Ca sáng: 9h - 12h • Ca chiều: 14h - 17h • Ca tối: 18h - 21h
 Địa điểm làm việc sang xịn mịn: Tòa FLC Landmark Tower, Ngõ 60 Dương Khuê, Mỹ Đình 2, Nam Từ Liêm, Hà Nội
Ib mình để trao đổi và nhận JD công việc cụ thể nhé",Học sinh sinh viên đang học khối ngành quản trị tại Hà Nội,Nhân sự 
Nhân viên vận hành sản thương mại điện tử ,https://www.facebook.com/groups/687446295400126/posts/1468691520608929/, THU NHẬP: 10 – 20 TRIỆU/THÁNG (LC 8-12 TR+ 700K PHỤ CẤP ĂN TRƯA VÀ XĂNG XE+% DOANH SỐ + THƯỞNG),Nhân viên ,"TUYỂN DỤNG NHÂN VIÊN VẬN HÀNH SÀN THƯƠNG MẠI ĐIỆN TỬ
THU NHẬP: 10 – 20 TRIỆU/THÁNG (LC 8-12 TR+ 700K PHỤ CẤP ĂN TRƯA VÀ XĂNG XE+% DOANH SỐ + THƯỞNG)
YÊU CẦU
Có laptop cá nhân
 Ưu tiên đã có kinh nghiệm làm việc
ĐỊA ĐIỂM LÀM VIỆC: Trung Hòa, Cầu Giấy, Hà Nội.
-----------------------------------------------------------------------
Tham khảo JD Inbox hoặc ứng tuyển qua địa chỉ: tuyendungmoccan@gmail.com","Có laptop cá nhân
Ưu tiên đã có kinh nghiệm làm việc",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/851767436342033/,Full time 8-10 TRIỆU Hoa hồng %,Nhân viên ,"GẤP GẤP MÌNH CẦN 5 BẠN BÁN HÀNG
 Công việc: trực chát trả lời tin nhắn , livetream tiktok. Sản Phẩm: thời trang, mỹ phẩm và phụ kiện đi kèm. 
Part-time hoặc Full-time có hỗ trợ xoay ca cho sinh viên! 
 Thời gian : 9h - 17h30 
 Thu nhập : Full time 8-10 TRIỆU Hoa hồng %
 Lưu ý: - Không cần ngoại hình hay bằng cấp -không cần kinh nghiệm,phỏng vấn đi làm ngay. -không cần laptop -Cầm tay chỉ việc -Tháng được nghỉ 4 ngày chủ nhật. 
Mọi người hoà đồng vui vẻ. -Mỗi năm tổ chức du lịch 6-7 lần. LÀM NHIỆT TÌNH,CHƠI HẾT MÌNH
Bạn nào thực sự Nghiêm Túc và Muốn Làm việc lâu dài INBOX trực tiếp để nhận được công việc sớm nhất. 

liên hệ zalo hoặc facebook trực tiếp :0342988890"," - Không cần ngoại hình hay bằng cấp -không cần kinh nghiệm,phỏng vấn đi làm ngay. -không cần laptop -Cầm tay chỉ việc",Tư vấn/ Dịch vụ khách hàng/ Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/850897216429055/,"Fulltime: 8-10 tr
part: 4-5tr",không cần kinh nghiệm,"BÊN MÌNH TUYỂN NHÂN VIÊN  ĐI LÀM LUÔN
Thời gian làm việc:
Fulltime : 10h - 22h
partime: 
Ca sáng: 10h-14h
Ca Chiều: 14h-18h
Ca Tối : 18h-22h
Thu nhập :
Fulltime: 8-10 tr
part: 4-5tr
Mặt hàng : Thời trang , Mĩ phẩm
Công việc: bán hàng, sắp xếp hàng lên kệ, , hỗ trợ khách mua hàng
+ Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái 
+ Yêu cầu; Nghiêm túc với công việc và gắn bó lâu dài và chăm chỉ
* Lưu ý tuyển 16 tuổi đến 30 tuổi 
Ibx ngay để nhận được công việc sớm nhất.
KHÔNG QUA TRUNG GIAN
Quan tâm ib trực tiếp","Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái 
+ Yêu cầu; Nghiêm túc với công việc và gắn bó lâu dài và chăm chỉ
* Lưu ý tuyển 16 tuổi đến 30 tuổi ",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/852716392913804/,tháng phát lương 2 lần 15 và 30,Nhân viên ,"Bên mình có một số bạn nghỉ đột xuất nên mình cần tuyển nhân viên đi làm luôn
4 nhân viên làm tại cửa hàng : ( tháng phát lương 2 lần 15 và 30 )
7 nhân viên on..line  : ( lương vào cuối ngày )
sáng: 9h-1h
Chiều: 13h-17h
Tối : 18h-22h
* Lưu ý tuyển 18 tuổi đến 40 tuổi
Yc : hoạt bát vui vẻ + nhiệt tình + sạch sẽ và luôn coi khách hàng là thượng đế
Quan tâm ib trực tiếp nhé ! 
Địa chỉ :Tôn Đức Thắng, phường Cát Linh, quận Đống Đa","* Lưu ý tuyển 18 tuổi đến 40 tuổi
Yc : hoạt bát vui vẻ + nhiệt tình + sạch sẽ và luôn coi khách hàng là thượng đế",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/851498496368927/,"Fulltime 8t : .7.600.000
Parttime : Lương : 25k/h",Nhân viên ,"Bên shop mình đang tuyển 3 nhân viên
Vị trí : Nhân viên bán hàng
Fulltime 8t : .7.600.000
Parttime : Lương : 25k/h
Sáng      9h30 - 13h30
Chiều    14h   - 18h
Tối        19h   -  22h
2 bạn nhân viên làm on.line sử lý đơn hàng 
-Có thể đăng kí ca làm Part-Time theo thời gian rảnh có thể làm (Trên 2h/ca)
-Yc : hoạt bát vui vẻ + nhiệt tình
Quan tâm ib trực tiếp nhé !",hoạt bát vui vẻ + nhiệt tình,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/853233332862110/,"-Bán hàng , thu ngân ( 30k/h)
-Làm trên 2 tháng (35k/h)",Nhân viên ,"JOB NGON TRAO TAY, NHẬN NGAY VIỆC HOTTT !
HỆ THỐNG CỬA HÀNG CIRCLE K
CẦN TUYỂN DỤNG NHÂN VIÊN
Tuyển Nam + Nữ ( yêu cầu đủ 18 tuổi )
Lương trả theo ngày
CÔNG VIỆC:
-Bán hàng , thu ngân ( 30k/h)
-Làm trên 2 tháng (35k/h)
( Tất cả nhân viên mới đều được đào tạo và hướng dẫn thử việc )
THỜI GIAN LÀM VIỆC:
Ca Sáng : 7h-11h
Ca Chiều : 13h- 16h
Ca Tối : 18h- 22h
(Có Thể làm Parttime hoặc Fulltime, Xoay ca linh hoạt)
QUYỀN LỢI:
- Được nghỉ 4 ngày/tháng.
- Được  ( nhận lương tuần )
- Được phụ cấp xăng + phòng trọ 500k
Chủ động Ibox trực tiếp mình để được tư vấn .                                                         Hoặc ibox trực tiếp 
( CHÚ Ý : BÊN MÌNH K THU BẤT CỨ CHI PHÍ GÌ CỦA NGƯỜI XIN VIỆC )
Được sắp xếp làm khu vực gần nhà!",Không yêu cầu kinh nghiệm,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/853230196195757/,,Nhân viên ,"TUYỂN DỤNG GẤP NHÂN VIÊN ĐI LÀM NGAY
3 NHÂN VIÊN LÀM TẠI CỬA HÀNG
7 NHÂN VIÊN ON LAI CHO NHỮNG BẠN Ở XA : ( CÔNG TRẢ CUỐI NGÀY )
1 c.a 4t : 7.5tr
2 c.a 8t : 15tr
Phụ cấp đi lại - ăn uống - trách nhiệm
THỜI GIAN LÀM VIỆC:
Part time: 4 tiếng.
Full time: 8 tiếng.
Xoay ca linh hoạt. Ưu tiên lịch học
* Lưu ý tuyển 18t đến 30t nam nữ đều được
Yc : hoạt bát vui vẻ + nhiệt tình + sạch sẽ và luôn coi khách hàng là thượng đế. Quan tâm ib trực tiếp",Lưu ý tuyển 18t đến 30t nam nữ đều được,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/posts/24579007898365426/,,Nhân viên ,"𝐂𝐚̂̀𝐧 𝐭𝐮𝐲𝐞̂̉𝐧 𝐧𝐡𝐚̂𝐧 𝐯𝐢𝐞̂𝐧 𝐤𝐢𝐧𝐡 𝐝𝐨𝐚𝐧𝐡 - 𝐂𝐒𝐊𝐇 𝐓𝐄𝐋𝐄𝐒𝐀𝐋𝐄𝐒
𝐊𝐇𝐎̂𝐍𝐆 𝐘𝐄̂𝐔 𝐂𝐀̂̀𝐔 𝐊𝐈𝐍𝐇 𝐍𝐆𝐇𝐈𝐄̣̂𝐌 
----------------------------------------------------------
𝐓𝐇𝐔 𝐍𝐇𝐀̣̂𝐏: 𝐊𝐇𝐎̂𝐍𝐆 𝐆𝐈𝐎̛́𝐈 𝐇𝐀̣𝐍,
- 𝐊𝐡𝐨̂𝐧𝐠 𝐚́𝐩 𝐝𝐨𝐚𝐧𝐡 𝐬𝐨̂́ 𝐊𝐏𝐈 -
𝐋𝐮̛𝐨̛𝐧𝐠 𝐜𝐮̛́𝐧𝐠 + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐧𝐨́𝐧𝐠 + %𝐇𝐇 + Thưởng Sàn
𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 :-
Có 𝐋𝐀𝐏𝐓𝐎𝐏 cá nhân để thuận tiện công việc⏱
Làm FULLTIME
𝐓𝐇𝐎̛̀𝐈 𝐆𝐈𝐀𝐍:-
-Từ 8h15 - 17h30 ( Nghỉ trưa 1 tiếng rưỡi)
-Từ Thứ 2 - Chủ Nhật ( được nghỉ 1 ngày bất kì)
𝐋𝐮̛𝐨̛𝐧𝐠 𝐭𝐡𝐚́𝐧𝐠 𝐭𝐡𝐮̛́ 𝟏𝟑, 𝐧𝐠𝐡𝐢̉ 𝐋𝐞̂̃/ 𝐓𝐞̂́𝐭 𝐭𝐡𝐞𝐨 đ𝐮́𝐧𝐠 𝐪𝐮𝐲 đ𝐢̣𝐧𝐡 𝐍𝐡𝐚̀ 𝐧𝐮̛𝐨̛́𝐜-
Đ𝐮̛𝐨̛̣𝐜 đ𝐚̀𝐨 𝐭𝐚̣𝐨 𝐛𝐚̀𝐢 𝐛𝐚̉𝐧, 𝐜𝐡𝐮𝐲𝐞̂𝐧 𝐧𝐠𝐡𝐢𝐞̣̂𝐩.-
𝐋𝐨̣̂ 𝐭𝐫𝐢̀𝐧𝐡 𝐭𝐡𝐚̆𝐧𝐠 𝐭𝐢𝐞̂́𝐧 𝐜𝐚́𝐜 𝐯𝐢̣ 𝐭𝐫𝐢́ 𝐜𝐚𝐨 𝐡𝐨̛𝐧 𝐫𝐨̃ 𝐫𝐚̀𝐧𝐠
Địa chỉ: Tòa HH1- Ngõ 102 Trường Chinh - Phương Mai - Đống Đa - Hà Nội
Ib nhận Jd/Add zalo 039.405.1824","Có 𝐋𝐀𝐏𝐓𝐎𝐏 cá nhân để thuận tiện công việc⏱
Làm FULLTIME
Không yêu cầu kinh nghiệm",Tư vấn/ Dịch vụ khách hàng/ Bán hàng/ Kinh doanh
